使用设备: cuda
加载CINIC-10数据集...
处理 90000 个图像...
第一个图像类型: <class 'dict'>
图像字典键: ['bytes', 'path']
已处理 0/90000 个图像，成功 1 个
已处理 10000/90000 个图像，成功 10001 个
已处理 20000/90000 个图像，成功 20001 个
已处理 30000/90000 个图像，成功 30001 个
已处理 40000/90000 个图像，成功 40001 个
已处理 50000/90000 个图像，成功 50001 个
已处理 60000/90000 个图像，成功 60001 个
已处理 70000/90000 个图像，成功 70001 个
已处理 80000/90000 个图像，成功 80001 个
成功处理了 90000 个图像，跳过了 0 个图像
处理后图像数组形状: (90000, 32, 32, 3)
处理后标签数组形状: (90000,)
最终图像数组形状: (90000, 3, 32, 32)
处理 90000 个图像...
第一个图像类型: <class 'dict'>
图像字典键: ['bytes', 'path']
已处理 0/90000 个图像，成功 1 个
已处理 10000/90000 个图像，成功 10001 个
已处理 20000/90000 个图像，成功 20001 个
已处理 30000/90000 个图像，成功 30001 个
已处理 40000/90000 个图像，成功 40001 个
已处理 50000/90000 个图像，成功 50001 个
已处理 60000/90000 个图像，成功 60001 个
已处理 70000/90000 个图像，成功 70001 个
已处理 80000/90000 个图像，成功 80001 个
成功处理了 90000 个图像，跳过了 0 个图像
处理后图像数组形状: (90000, 32, 32, 3)
处理后标签数组形状: (90000,)
最终图像数组形状: (90000, 3, 32, 32)
CINIC-10数据集加载和预处理完成.
--- 开始在 cinic10 数据集上进行原版VFL训练 (共 30 个周期) ---
周期 [1/30], 批次 [620/1407], 损失: 1.7014, 平均损失: 1.8242
周期 [1/30], 批次 [630/1407], 损失: 1.7650, 平均损失: 1.8232
周期 [1/30], 批次 [640/1407], 损失: 1.6583, 平均损失: 1.8213
周期 [1/30], 批次 [650/1407], 损失: 1.5145, 平均损失: 1.8187
周期 [1/30], 批次 [660/1407], 损失: 1.6540, 平均损失: 1.8146
周期 [1/30], 批次 [670/1407], 损失: 1.5079, 平均损失: 1.8120
周期 [1/30], 批次 [680/1407], 损失: 1.8817, 平均损失: 1.8097
周期 [1/30], 批次 [690/1407], 损失: 1.6942, 平均损失: 1.8075
周期 [1/30], 批次 [700/1407], 损失: 1.8697, 平均损失: 1.8053
周期 [1/30], 批次 [710/1407], 损失: 1.7288, 平均损失: 1.8033
周期 [1/30], 批次 [720/1407], 损失: 1.8192, 平均损失: 1.8015
周期 [1/30], 批次 [730/1407], 损失: 1.7400, 平均损失: 1.8005
周期 [1/30], 批次 [740/1407], 损失: 1.5738, 平均损失: 1.7986
周期 [1/30], 批次 [750/1407], 损失: 1.4784, 平均损失: 1.7964
周期 [1/30], 批次 [760/1407], 损失: 1.6505, 平均损失: 1.7939
周期 [1/30], 批次 [770/1407], 损失: 1.4503, 平均损失: 1.7917
周期 [1/30], 批次 [780/1407], 损失: 1.4404, 平均损失: 1.7903
周期 [1/30], 批次 [790/1407], 损失: 1.4374, 平均损失: 1.7879
周期 [1/30], 批次 [800/1407], 损失: 1.6875, 平均损失: 1.7858
周期 [1/30], 批次 [810/1407], 损失: 1.6080, 平均损失: 1.7837
周期 [1/30], 批次 [820/1407], 损失: 1.5961, 平均损失: 1.7821
周期 [1/30], 批次 [830/1407], 损失: 1.3552, 平均损失: 1.7800
周期 [1/30], 批次 [840/1407], 损失: 1.6152, 平均损失: 1.7781
周期 [1/30], 批次 [850/1407], 损失: 1.7287, 平均损失: 1.7773
周期 [1/30], 批次 [860/1407], 损失: 1.5604, 平均损失: 1.7762
周期 [1/30], 批次 [870/1407], 损失: 1.6098, 平均损失: 1.7746
周期 [1/30], 批次 [880/1407], 损失: 1.5717, 平均损失: 1.7727
周期 [1/30], 批次 [890/1407], 损失: 1.7788, 平均损失: 1.7713
周期 [1/30], 批次 [900/1407], 损失: 1.5120, 平均损失: 1.7697
周期 [1/30], 批次 [910/1407], 损失: 1.5172, 平均损失: 1.7679
周期 [1/30], 批次 [920/1407], 损失: 1.6980, 平均损失: 1.7662
周期 [1/30], 批次 [930/1407], 损失: 1.4974, 平均损失: 1.7639
周期 [1/30], 批次 [940/1407], 损失: 1.6309, 平均损失: 1.7623
周期 [1/30], 批次 [950/1407], 损失: 1.6732, 平均损失: 1.7609
周期 [1/30], 批次 [960/1407], 损失: 1.5668, 平均损失: 1.7592
周期 [1/30], 批次 [970/1407], 损失: 1.5165, 平均损失: 1.7568
周期 [1/30], 批次 [980/1407], 损失: 1.7554, 平均损失: 1.7557
周期 [1/30], 批次 [990/1407], 损失: 1.4942, 平均损失: 1.7535
周期 [1/30], 批次 [1000/1407], 损失: 1.6311, 平均损失: 1.7521
周期 [1/30], 批次 [1010/1407], 损失: 1.6213, 平均损失: 1.7502
周期 [1/30], 批次 [1020/1407], 损失: 1.6489, 平均损失: 1.7480
周期 [1/30], 批次 [1030/1407], 损失: 1.5134, 平均损失: 1.7468
周期 [1/30], 批次 [1040/1407], 损失: 1.7038, 平均损失: 1.7455
周期 [1/30], 批次 [1050/1407], 损失: 1.6696, 平均损失: 1.7437
周期 [1/30], 批次 [1060/1407], 损失: 1.7284, 平均损失: 1.7420
